time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
0,-1.3,-1.32956,0.3,0.475672,1,0.986622,0,-0.131495,-1.5,-0.45269,0,-0.0824137,-0.0591559,-0.0268181,0.033668,0.0311281,2.16963e-19,-0.0166211,0.212425
0.05,-1.29812,-1.33647,0.225031,0.456567,1,0.983384,0.074969,-0.123239,-1.49812,-0.433517,0,-0.0724514,0.246981,-0.0153746,0.182944,0.0279887,0.02,-0.0151851,0.21088
0.1,-1.29251,-1.34188,0.15025,0.440362,1,0.980884,0.14975,-0.119381,-1.49251,-0.372076,0,-0.0670938,0.272765,0.0365264,0.18623,0.0791673,0.07,-0.0133073,0.21067
0.15,-1.28316,-1.3456,0.075843,0.423,1,0.977912,0.224157,-0.0538406,-1.48316,-0.370175,0,-0.0874488,0.283944,0.164384,0.176298,0.130681,0.12,0.00163199,0.214794
0.2,-1.2701,-1.3475,0.001996,0.403225,1,0.973304,0.298004,-0.000267006,-1.4701,-0.433555,0,-0.112465,0.28552,0.199129,0.169382,0.147408,0.17,0.0127883,0.219709
0.25,-1.25337,-1.34711,-0.071106,0.389487,1,0.969994,0.371106,0.0858359,-1.45337,-0.52295,0,-0.124496,0.262073,0.226913,0.150689,0.157808,0.22,0.0262112,0.227555
0.3,-1.233,-1.34163,-0.14328,0.352519,1,0.962238,0.44328,0.152299,-1.43301,-0.609263,0,-0.125366,0.239128,0.258513,0.134716,0.164964,0.27,0.0549062,0.230439
0.35,-1.20906,-1.33094,-0.214347,0.310772,1,0.956034,0.514347,0.256248,-1.40906,-0.73917,0,-0.106841,0.229467,0.261547,0.12987,0.165624,0.32,0.0851628,0.229951
0.4,-1.18159,-1.31653,-0.284128,0.266728,1,0.952061,0.584128,0.327087,-1.38159,-0.825132,0,-0.0832476,0.208882,0.256245,0.123438,0.158008,0.37,0.115566,0.226429
0.45,-1.15067,-1.29887,-0.352448,0.219694,1,0.949988,0.652448,0.429613,-1.35067,-0.95294,0,-0.0427451,0.197447,0.248777,0.123016,0.15784,0.42,0.149518,0.222552
0.5,-1.11637,-1.27708,-0.419138,0.167593,1,0.949225,0.719138,0.487804,-1.31637,-1.00624,0,-0.0243701,0.17983,0.235198,0.123165,0.151566,0.47,0.181738,0.218045
0.55,-1.07879,-1.26366,-0.484031,0.137871,1,0.949356,0.784031,0.604013,-1.27879,-1.12564,0,0.00735886,0.167244,0.226541,0.12613,0.15077,0.52,0.20046,0.214511
0.6,-1.038,-1.22132,-0.546964,0.0505959,1,0.95061,0.846964,0.728111,-1.238,-1.23114,0,0.0205845,0.136733,0.203446,0.127826,0.144667,0.57,0.25623,0.211009
0.65,-0.994126,-1.18785,-0.60778,-0.0130229,1,0.951863,0.90778,0.775501,-1.19413,-1.26294,0,0.027417,0.115294,0.184425,0.130859,0.143806,0.62,0.295402,0.208381
