time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
0,5,4.62132,0,-0.105636,1,0.95094,-0,0.487514,5,0.0986282,0,-0.0149945,0.00366711,0.00432632,-0.0350412,-0.0401741,0,-6.67646e-05,0.573493
0.05,4.99375,4.6538,0.249584,-0.0981996,1,0.951968,-0.249896,0.454036,4.97502,0.0903713,0,-0.00947047,-0.435586,0.00416219,-0.580604,-0.0383772,-1.65976e-17,-0.000116382,0.55182
0.1,4.97502,4.66485,0.496673,-0.0949321,1,0.952757,-0.499167,0.441369,4.90033,0.0885474,0,-0.00407029,-0.393965,0.00406247,-0.622331,-0.0378145,1.70799e-17,-0.000138871,0.549075
0.15,4.94386,4.69057,0.738801,-0.0863427,1,0.957268,-0.747191,0.364379,4.77668,0.101509,0,0.0506769,-0.353071,-0.0779052,-0.648606,-0.183873,0,-0.00679478,0.557661
0.2,4.90033,4.69837,0.973546,-0.0823434,1,0.959722,-0.993347,0.293815,4.60531,0.133699,0,0.0494835,-0.263777,-0.13173,-0.619404,-0.253871,0,-0.00645755,0.646582
0.25,4.84456,4.70659,1.19856,-0.0655435,1,0.964991,-1.23702,-0.0147971,4.38791,0.312295,0,0.0511306,-0.168904,-0.285096,-0.579754,-0.47135,-1.65884e-17,0.0120614,0.697144
0.3,4.77668,4.7028,1.41161,-0.0549182,1,0.967588,-1.4776,-0.182588,4.12668,0.408876,0,0.0753425,-0.0622545,-0.294172,-0.496406,-0.502467,0,0.0157829,0.7081
0.35,4.69686,4.66959,1.61054,-0.0150212,1,0.979387,-1.71449,-0.688556,3.82421,0.661672,0,0.20976,0.065724,-0.243174,-0.509158,-0.551006,0,0.0146901,0.688478
0.4,4.60531,4.64677,1.79339,0.00500225,1,0.986792,-1.94709,-0.885255,3.48353,0.738337,0,0.26505,0.144407,-0.215701,-0.461919,-0.549649,0,0.0118158,0.644413
0.45,4.50224,4.56492,1.95832,0.0635993,1,1.01171,-2.17483,-1.33266,3.10805,0.8502,0,0.36523,0.15878,-0.0903992,-0.416338,-0.513669,0,0.000869157,0.615413
0.5,4.38791,4.50767,2.10368,0.0969502,1,1.02811,-2.39713,-1.53684,2.70151,0.862647,0,0.385351,0.239914,-0.0532734,-0.406137,-0.499494,-7.55333e-18,-0.000659857,0.586349
0.55,4.26262,4.40846,2.22802,0.14605,1,1.05296,-2.61344,-1.79054,2.26798,0.830586,0,0.367121,0.250788,0.0632362,-0.385466,-0.455772,0,0.000109895,0.577172
0.6,4.12668,4.27947,2.3301,0.1978,1,1.07811,-2.82321,-2.02704,1.81179,0.742363,0,0.302763,0.295451,0.127747,-0.405306,-0.428097,0,0.00363925,0.584271
0.65,3.98042,4.21344,2.40889,0.219929,1,1.0881,-3.02593,-2.12671,1.33749,0.685685,0,0.267833,0.31808,0.16934,-0.396178,-0.411436,7.52149e-18,0.00662797,0.594301
0.7,3.82421,4.06289,2.46362,0.260176,1,1.10587,-3.22109,-2.32967,0.849836,0.536222,0,0.205708,0.335382,0.215959,-0.397237,-0.400407,0,0.00909283,0.601403
0.75,3.65844,3.98724,2.49374,0.275479,1,1.11274,-3.40819,-2.42299,0.353686,0.453445,0,0.178846,0.336925,0.24755,-0.36989,-0.398072,7.44223e-18,0.00994688,0.614274
0.8,3.48353,3.81661,2.49893,0.298631,1,1.12487,-3.58678,-2.62139,-0.145998,0.253695,0,0.136029,0.375541,0.282411,-0.3963,-0.39385,0,0.011322,0.633907
0.85,3.29992,3.73154,2.47916,0.3047,1,1.12978,-3.7564,-2.71636,-0.644222,0.147952,0,0.128779,0.356131,0.302566,-0.353195,-0.391856,0,0.0118769,0.63698
0.9,3.10805,3.5427,2.43462,0.309965,1,1.1395,-3.91663,-2.91559,-1.13601,-0.0937451,0,0.123241,0.376125,0.331021,-0.365977,-0.391156,0,0.0118918,0.650555
0.95,2.90842,3.44905,2.36575,0.306561,1,1.14385,-4.06708,-3.00848,-1.61645,-0.21458,0,0.125947,0.357287,0.341941,-0.336078,-0.386133,-7.35009e-18,0.0133305,0.654067
1,2.70151,3.24027,2.27324,0.286176,1,1.15413,-4.20735,-3.1981,-2.08073,-0.477787,0,0.140459,0.358855,0.352559,-0.338188,-0.375891,0,0.0157683,0.659856
1.05,2.48786,3.13743,2.15802,0.27009,1,1.15948,-4.33712,-3.28252,-2.52423,-0.601316,0,0.148066,0.335984,0.3537,-0.323402,-0.367472,0,0.0175324,0.659816
1.1,2.26798,2.91024,2.02124,0.222823,1,1.17204,-4.45604,-3.44866,-2.94251,-0.858862,0,0.167283,0.295464,0.348648,-0.288177,-0.35138,0,0.0202728,0.645545
