time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
0,-1.3,-1.23941,0.3,0.52358,1,0.994256,0,-0.136578,-1.5,-0.472085,0,-0.0623315,-0.106934,-0.0328085,0.0320249,0.0192,-4.33903e-19,-0.0112993,0.215041
0.05,-1.29812,-1.2481,0.225031,0.503583,1,0.991891,0.074969,-0.127529,-1.49812,-0.42614,0,-0.0599667,0.297789,-0.0398255,0.19827,0.0211847,0.02,-0.0109869,0.216353
0.1,-1.29251,-1.25613,0.15025,0.484572,1,0.989462,0.14975,-0.136735,-1.49251,-0.385518,0,-0.0606468,0.306021,0.0117729,0.235104,0.0795897,0.07,-0.0129024,0.21722
0.15,-1.28316,-1.26244,0.075843,0.464619,1,0.986817,0.224157,-0.070107,-1.48316,-0.40008,0,-0.0821189,0.315422,0.175142,0.242323,0.152233,0.12,0.00225023,0.224014
0.2,-1.2701,-1.26626,0.001996,0.442383,1,0.982399,0.298004,-0.00806136,-1.4701,-0.486412,0,-0.109411,0.273968,0.228253,0.207854,0.183965,0.17,0.0141922,0.238924
0.25,-1.25337,-1.26598,-0.071106,0.415491,1,0.976527,0.371106,0.120585,-1.45337,-0.628761,0,-0.13027,0.258505,0.258247,0.199954,0.21219,0.22,0.037527,0.246867
0.3,-1.233,-1.25957,-0.14328,0.375728,1,0.970012,0.44328,0.182488,-1.43301,-0.70863,0,-0.118993,0.224729,0.266695,0.175152,0.215053,0.27,0.063181,0.249602
0.35,-1.20906,-1.24725,-0.214347,0.332683,1,0.966976,0.514347,0.321995,-1.40906,-0.864664,0,-0.0584996,0.215329,0.260704,0.175188,0.211172,0.32,0.0924199,0.24585
0.4,-1.18159,-1.23123,-0.284128,0.289502,1,0.967174,0.584128,0.415738,-1.38159,-0.953349,0,-0.0069737,0.191914,0.251238,0.162375,0.205388,0.37,0.117658,0.228228
0.45,-1.15067,-1.20837,-0.352448,0.237932,1,0.970627,0.652448,0.554313,-1.35067,-1.08649,0,0.0714329,0.18664,0.232751,0.170597,0.198256,0.42,0.150793,0.217819
0.5,-1.11637,-1.18019,-0.419138,0.18122,1,0.976399,0.719138,0.647703,-1.31637,-1.1589,0,0.107148,0.155633,0.215221,0.152602,0.193951,0.47,0.185245,0.196884
0.55,-1.07879,-1.14709,-0.484031,0.12111,1,0.982888,0.784031,0.78993,-1.27879,-1.26202,0,0.117789,0.146687,0.20035,0.162896,0.187585,0.52,0.220813,0.190841
0.6,-1.038,-1.10949,-0.546964,0.0580851,1,0.988375,0.846964,0.904129,-1.238,-1.32435,0,0.0722701,0.106159,0.181038,0.139602,0.176462,0.57,0.258337,0.190157
0.65,-0.994126,-1.05899,-0.60778,-0.0203333,1,0.991827,0.90778,0.954559,-1.19413,-1.35739,0,0.0419505,0.0632828,0.149656,0.114343,0.16074,0.62,0.303903,0.200969
0.7,-0.947263,-1.01338,-0.666327,-0.0869773,1,0.991541,0.966327,1.05768,-1.14726,-1.39393,0,-0.0383264,0.0430758,0.121777,0.108545,0.144214,0.67,0.342413,0.20946
0.75,-0.897533,-0.96464,-0.722458,-0.154415,1,0.988694,1.02246,1.10255,-1.09753,-1.40549,0,-0.06502,0.0169968,0.0970571,0.0956662,0.129887,0.72,0.384221,0.221444
0.8,-0.84506,-0.913287,-0.776034,-0.221991,1,0.984662,1.07603,1.19141,-1.04506,-1.42102,0,-0.0869749,0.00517114,0.0742033,0.0980668,0.115537,0.77,0.426064,0.225475
0.85,-0.789975,-0.859697,-0.826921,-0.289149,1,0.980661,1.12692,1.21845,-0.989975,-1.41001,0,-0.0812732,-0.0111994,0.0526795,0.0972694,0.100613,0.82,0.468512,0.226376
0.9,-0.732415,-0.804375,-0.87499,-0.355586,1,0.977756,1.17499,1.28174,-0.932415,-1.40104,0,-0.0433744,-0.00929961,0.0324164,0.115634,0.0913385,0.87,0.511585,0.22459
0.95,-0.672525,-0.735989,-0.920123,-0.433474,1,0.976732,1.22012,1.30543,-0.872525,-1.38528,0,-0.0205829,-0.00760536,0.0114458,0.132104,0.0891639,0.92,0.565496,0.215592
1,-0.610453,-0.678091,-0.962206,-0.496369,1,0.977882,1.26221,1.34236,-0.810453,-1.33679,0,0.0350327,-0.00679875,0.00304626,0.148602,0.0963449,0.97,0.611485,0.210206
1.05,-0.546357,-0.618907,-1.00114,-0.557254,1,0.980512,1.30113,1.38108,-0.746357,-1.29404,0,0.0646973,-0.00719189,-0.00702417,0.162651,0.103981,1.02,0.656566,0.198011
1.1,-0.480394,-0.559004,-1.03681,-0.61577,1,0.983783,1.33681,1.39564,-0.680394,-1.25226,0,0.0707636,0.00140278,-0.0121936,0.190593,0.119327,1.07,0.701276,0.195488
1.15,-0.412731,-0.498146,-1.06915,-0.671585,1,0.986499,1.36915,1.4175,-0.612731,-1.23018,0,0.0597448,-0.00884856,-0.0155621,0.198411,0.136786,1.12,0.745632,0.195397
1.2,-0.343537,-0.436411,-1.09806,-0.724466,1,0.987788,1.39806,1.44935,-0.543537,-1.14349,0,0.0243068,-0.00212179,-0.0226712,0.196162,0.148875,1.17,0.790619,0.202673
1.25,-0.272984,-0.369363,-1.12348,-0.777139,1,0.987347,1.42348,1.47991,-0.472984,-1.06285,0,-0.0171909,0.0165165,-0.0243645,0.211376,0.160705,1.22,0.838908,0.209451
1.3,-0.201248,-0.29704,-1.14534,-0.828778,1,0.985182,1.44534,1.50403,-0.401248,-1.00658,0,-0.043139,0.00262827,-0.0250235,0.214557,0.175443,1.27,0.890976,0.21872
1.35,-0.12851,-0.231761,-1.16359,-0.869843,1,0.982045,1.46358,1.52867,-0.32851,-0.903408,0,-0.0597506,0.00848319,-0.0382165,0.239733,0.18613,1.32,0.938457,0.222654
